地区,日期,天气,最高气温,最低气温,AQI,风向,降雨量(mm)
临桂区,2024/5/1,多云/?雨,21,16,31,东北风3级,0
临桂区,2024/5/2,雨/?阴,18,14,40,东北风2级,0
临桂区,2024/5/3,雨,19,14,42,北风1级,0
临桂区,2024/5/4,雨/?多云,22,18,13,北风1级,0
临桂区,2024/5/5,多云,28,17,22,东北风1级,0
临桂区,2024/5/6,阴/?雨,25,19,32,东南风1级,0
临桂区,2024/5/7,雨,29,19,33,西风1级,2.18
临桂区,2024/5/8,雨,27,21,50,北风2级,0.53
临桂区,2024/5/9,阴/?雨,24,18,36,东北风1级,0
临桂区,2024/5/10,雨/?阴,26,18,41,南风1级,1.05
临桂区,2024/5/11,雨,28,21,22,西南风2级,50.58
临桂区,2024/5/12,雨/?多云,27,20,37,北风2级,0
临桂区,2024/5/13,多云,30,19,42,东北风2级,0
临桂区,2024/5/14,晴/?多云,31,16,40,东北风1级,0
临桂区,2024/5/15,阴/?多云,31,20,43,北风2级,0
临桂区,2024/5/16,阴/?多云,29,21,63,北风1级,0
临桂区,2024/5/17,雨,26,18,79,东风1级,13.1
临桂区,2024/5/18,雨,21,19,24,西北风1级,44.01
临桂区,2024/5/19,雨/?多云,24,19,19,东北风1级,0
临桂区,2024/5/20,雨/?多云,30,20,24,东北风1级,0
临桂区,2024/5/21,雨/?阴,30,22,35,北风2级,0
临桂区,2024/5/22,阴/?多云,29,22,32,北风1级,0
临桂区,2024/5/23,晴,33,21,38,北风1级,0
临桂区,2024/5/24,晴,34,22,45,东风1级,0
临桂区,2024/5/25,多云/?雨,33,23,30,南风2级,0
临桂区,2024/5/26,雨,28,23,17,南风2级,0
临桂区,2024/5/27,雨/?多云,33,25,25,东北风2级,0
临桂区,2024/5/28,多云/?阴,31,24,39,东北风3级,0
临桂区,2024/5/29,阴,27,23,42,北风1级,0
临桂区,2024/5/30,雨,27,21,18,北风2级,0.96
临桂区,2024/5/31,多云,28,20,28,东北风2级,0
灵川县,2024/5/1,多云/?雨,21,16,32,东北风3级,0
灵川县,2024/5/2,雨,19,14,22,东北风2级,0
灵川县,2024/5/3,雨,20,16,25,北风1级,0
灵川县,2024/5/4,雨,21,17,18,北风1级,0
灵川县,2024/5/5,多云,28,17,26,东北风1级,0
灵川县,2024/5/6,雨,28,18,32,东南风1级,0
灵川县,2024/5/7,雨,29,19,31,西风1级,1.09
灵川县,2024/5/8,雨,27,22,48,东北风2级,1.92
灵川县,2024/5/9,阴/?雨,24,19,29,东北风1级,0
灵川县,2024/5/10,雨,25,18,44,西南风1级,2.96
灵川县,2024/5/11,雨,29,21,28,西南风2级,34.08
灵川县,2024/5/12,雨/?多云,26,20,39,东北风2级,0
灵川县,2024/5/13,多云,30,18,38,东北风2级,0
灵川县,2024/5/14,晴/?多云,31,16,44,东北风1级,0
灵川县,2024/5/15,阴/?多云,32,19,41,东北风2级,0
灵川县,2024/5/16,阴/?多云,30,20,44,东北风2级,0
灵川县,2024/5/17,雨,26,19,45,南风1级,4.89
灵川县,2024/5/18,雨,22,19,32,北风1级,91.43
灵川县,2024/5/19,雨/?多云,24,19,17,东北风1级,0
灵川县,2024/5/20,雨,30,20,24,东北风2级,0
灵川县,2024/5/21,雨/?阴,29,22,30,东北风2级,0
灵川县,2024/5/22,阴/?多云,28,22,34,东北风2级,0
灵川县,2024/5/23,晴,32,21,32,东北风1级,0
灵川县,2024/5/24,晴,34,22,30,南风1级,0
灵川县,2024/5/25,晴/?多云,33,23,37,南风2级,0
灵川县,2024/5/26,雨,28,23,18,南风1级,1.28
灵川县,2024/5/27,雨/?多云,34,24,22,东北风2级,0
灵川县,2024/5/28,多云/?阴,31,24,37,东北风3级,0
灵川县,2024/5/29,阴/?雨,27,23,35,东北风1级,4.4
灵川县,2024/5/30,雨,27,22,21,北风1级,5.2
灵川县,2024/5/31,多云/?雨,27,20,32,东北风2级,0
